Down,Ydstogo,Line,Value
1,1,2,-1.53
1,1,3,-1.352
1,1,4,-1.205
1,1,5,-1.105
1,1,6,-1.017
1,1,7,-0.937
1,1,8,-0.861
1,1,9,-0.787
1,1,10,-0.715
1,1,11,-0.643
1,1,12,-0.571
1,1,13,-0.5
1,1,14,-0.428
1,1,15,-0.357
1,1,16,-0.285
1,1,17,-0.214
1,1,18,-0.143
1,1,19,-0.073
1,1,20,-0.003
1,1,21,0.068
1,1,22,0.139
1,1,23,0.21
1,1,24,0.28
1,1,25,0.351
1,1,26,0.421
1,1,27,0.492
1,1,28,0.563
1,1,29,0.634
1,1,30,0.704
1,1,31,0.775
1,1,32,0.845
1,1,33,0.915
1,1,34,0.985
1,1,35,1.055
1,1,36,1.124
1,1,37,1.194
1,1,38,1.265
1,1,39,1.337
1,1,40,1.408
1,1,41,1.48
1,1,42,1.551
1,1,43,1.623
1,1,44,1.693
1,1,45,1.765
1,1,46,1.838
1,1,47,1.91
1,1,48,1.983
1,1,49,2.057
1,1,50,2.132
1,1,51,2.207
1,1,52,2.282
1,1,53,2.359
1,1,54,2.436
1,1,55,2.512
1,1,56,2.592
1,1,57,2.672
1,1,58,2.753
1,1,59,2.834
1,1,60,2.916
1,1,61,2.999
1,1,62,3.083
1,1,63,3.168
1,1,64,3.253
1,1,65,3.34
1,1,66,3.427
1,1,67,3.516
1,1,68,3.606
1,1,69,3.696
1,1,70,3.787
1,1,71,3.879
1,1,72,3.97
1,1,73,4.063
1,1,74,4.155
1,1,75,4.248
1,1,76,4.342
1,1,77,4.435
1,1,78,4.529
1,1,79,4.623
1,1,80,4.716
1,1,81,4.794
1,1,82,4.89
1,1,83,4.986
1,1,84,5.085
1,1,85,5.186
1,1,86,5.288
1,1,87,5.393
1,1,88,5.498
1,1,89,5.604
1,1,90,5.705
1,1,91,5.798
1,1,92,5.852
1,1,93,5.922
1,1,94,5.988
1,1,95,6.05
1,1,96,6.123
1,1,97,6.192
1,1,98,6.257
1,1,99,6.296
1,2,1,-1.704
1,2,2,-1.54
1,2,3,-1.362
1,2,4,-1.217
1,2,5,-1.119
1,2,6,-1.031
1,2,7,-0.953
1,2,8,-0.876
1,2,9,-0.803
1,2,10,-0.73
1,2,11,-0.658
1,2,12,-0.586
1,2,13,-0.514
1,2,14,-0.443
1,2,15,-0.371
1,2,16,-0.299
1,2,17,-0.228
1,2,18,-0.157
1,2,19,-0.087
1,2,20,-0.016
1,2,21,0.056
1,2,22,0.126
1,2,23,0.196
1,2,24,0.267
1,2,25,0.337
1,2,26,0.408
1,2,27,0.479
1,2,28,0.55
1,2,29,0.62
1,2,30,0.691
1,2,31,0.761
1,2,32,0.831
1,2,33,0.901
1,2,34,0.971
1,2,35,1.041
1,2,36,1.111
1,2,37,1.181
1,2,38,1.253
1,2,39,1.324
1,2,40,1.396
1,2,41,1.467
1,2,42,1.539
1,2,43,1.609
1,2,44,1.681
1,2,45,1.753
1,2,46,1.824
1,2,47,1.897
1,2,48,1.97
1,2,49,2.044
1,2,50,2.118
1,2,51,2.192
1,2,52,2.267
1,2,53,2.343
1,2,54,2.418
1,2,55,2.496
1,2,56,2.575
1,2,57,2.655
1,2,58,2.735
1,2,59,2.817
1,2,60,2.898
1,2,61,2.981
1,2,62,3.065
1,2,63,3.149
1,2,64,3.235
1,2,65,3.322
1,2,66,3.409
1,2,67,3.498
1,2,68,3.588
1,2,69,3.678
1,2,70,3.769
1,2,71,3.86
1,2,72,3.951
