Distance,Good
54,1
52,0
48,0
47,1
41,1
39,0
38,1
35,0
31,1
24,1
23,1
44,0
44,0
43,0
41,1
29,1
28,1
56,0
50,1
49,0
49,1
46,1
45,1
45,1
44,1
43,1
43,1
41,0
41,1
35,1
33,1
28,1
24,1
21,1
20,1
56,1
55,1
55,1
53,1
52,1
49,1
46,0
45,1
44,1
41,0
38,1
35,1
31,1
30,1
28,1
27,1
25,1
24,1
58,1
48,1
47,0
45,1
43,0
43,0
43,1
41,1
38,1
36,1
35,1
32,1
29,1
28,1
28,1
27,1
27,1
26,1
25,1
25,1
24,1
23,1
21,1
53,0
52,0
52,1
48,1
48,1
47,1
47,1
46,1
45,1
43,1
41,1
40,1
40,1
37,1
35,1
32,1
31,1
26,1
26,1
24,1
23,1
23,1
23,1
52,1
50,1
49,1
48,1
48,1
47,0
47,1
44,1
43,1
43,1
42,1
40,1
40,1
39,1
37,1
36,1
34,1
28,1
27,0
23,1
48,0
46,1
41,1
39,1
34,0
30,1
30,1
29,1
29,1
29,1
51,0
50,1
45,0
43,1
42,0
40,1
37,1
36,0
32,0
32,0
32,1
30,1
29,1
28,1
27,1
24,1
50,1
41,1
25,1
38,1
36,0
27,1
51,0
48,0
32,1
31,1
20,1
56,0
50,1
49,0
49,0
46,0
42,1
40,1
34,1
31,0
23,1
20,1
59,0
58,1
57,1
56,0
56,1
55,1
51,1
48,1
41,1
40,1
37,1
37,1
35,1
34,1
30,1
29,1
19,1
59,0
53,1
51,1
50,1
48,1
48,1
45,1
40,1
37,0
37,1
37,1
36,0
36,1
29,1
28,1
28,1
23,1
59,0
46,1
40,1
28,1
28,1
27,1
26,1
22,1
53,1
52,1
51,1
51,1
45,1
43,1
43,1
43,1
42,1
39,0
37,1
36,1
35,1
34,1
34,1
34,1
32,1
32,1
26,1
26,1
24,1
20,1
50,1
42,1
40,1
40,1
40,1
39,1
36,1
33,1
31,1
31,1
26,1
62,0
58,0
57,1
55,1
50,1
48,1
48,1
47,1
47,1
46,0
44,1
42,1
31,1
28,1
27,1
25,1
25,1
22,1
21,1
42,1
33,1
54,0
54,0
52,0
47,1
45,1
43,1
42,1
41,1
39,0
38,1
30,1
29,1
25,1
23,1
22,1
61,1
53,1
52,0
51,1
50,1
50,1
48,1
47,1
46,1
45,0
45,1
42,1
42,1
40,1
40,1
40,1
36,1
34,1
30,0
28,1
53,1
49,1
46,0
46,1
43,1
42,1
41,1
39,1
37,1
35,1
35,1
33,1
32,1
26,1
56,1
53,1
50,1
49,1
48,1
44,1
44,1
44,1
43,1
40,1
36,0
35,1
35,1
34,1
33,1
33,1
32,1
30,1
29,1
28,1
23,1
19,1
55,0
48,1
48,1
46,1
44,1
39,1
39,1
36,1
36,1
34,1
32,1
32,1
28,1
28,1
21,1
20,1
20,1
20,1
53,0
52,1
52,1
45,0
44,1
43,1
38,1
32,1
29,1
26,1
22,1
20,1
52,0
51,0
48,1
41,1
40,1
33,1
28,1
23,1
22,1
21,1
19,1
56,1
48,1
43,1
42,1
36,1
34,1
21,1
54,1
52,0
48,0
47,0
47,0
44,1
44,1
40,1
27,1
24,1
24,1
19,1
54,1
50,0
49,1
41,1
39,1
38,1
35,1
30,1
28,1
49,1
49,1
46,1
44,0
43,1
43,1
41,1
38,1
37,1
35,0
34,1
34,1
32,1
31,1
29,1
29,1
25,1
24,1
24,1
22,1
20,1
57,1
52,1
48,0
48,1
46,0
46,1
46,1
45,0
45,0
45,1
43,1
41,1
40,1
40,1
28,1
26,1
22,1
50,1
42,1
37,1
39,1
34,1
34,1
53,0
50,0
49,0
46,1
38,1
36,1
35,0
35,1
29,0
28,1
28,1
28,1
27,1
20,1
49,1
48,1
44,1
41,1
39,1
37,0
35,1
33,1
27,1
25,1
21,1
21,1
21,1
51,1
49,0
47,0
43,0
41,1
40,1
30,1
25,1
25,1
25,1
52,1
52,1
51,1
46,1
40,1
38,0
38,1
36,1
33,1
33,1
29,1
29,1
29,1
25,1
23,1
20,1
