Team;Year;Attemp2pt;Success2pt;Attemptkick;Successkick
PIT ; 2009 ; 0 ; 0 ; 1 ; 1
TEN ; 2009 ; 0 ; 0 ; 1 ; 1
ATL ; 2009 ; 0 ; 0 ; 1 ; 1
ATL ; 2009 ; 0 ; 0 ; 1 ; 0
MIA ; 2009 ; 0 ; 0 ; 1 ; 1
BAL ; 2009 ; 0 ; 0 ; 1 ; 1
KC ; 2009 ; 0 ; 0 ; 1 ; 1
KC ; 2009 ; 0 ; 0 ; 1 ; 1
BAL ; 2009 ; 0 ; 0 ; 1 ; 1
BAL ; 2009 ; 0 ; 0 ; 1 ; 1
KC ; 2009 ; 0 ; 0 ; 1 ; 1
BAL ; 2009 ; 0 ; 0 ; 1 ; 1
BAL ; 2009 ; 0 ; 0 ; 1 ; 1
CAR ; 2009 ; 0 ; 0 ; 1 ; 1
PHI ; 2009 ; 0 ; 0 ; 1 ; 1
PHI ; 2009 ; 0 ; 0 ; 1 ; 1
PHI ; 2009 ; 0 ; 0 ; 1 ; 1
PHI ; 2009 ; 0 ; 0 ; 1 ; 1
PHI ; 2009 ; 0 ; 0 ; 1 ; 1
CIN ; 2009 ; 0 ; 0 ; 1 ; 1
DEN ; 2009 ; 1 ; 0 ; 0 ; 0
MIN ; 2009 ; 0 ; 0 ; 1 ; 1
CLE ; 2009 ; 0 ; 0 ; 1 ; 1
MIN ; 2009 ; 0 ; 0 ; 1 ; 1
MIN ; 2009 ; 0 ; 0 ; 1 ; 1
MIN ; 2009 ; 0 ; 0 ; 1 ; 1
CLE ; 2009 ; 0 ; 0 ; 1 ; 1
NYJ ; 2009 ; 0 ; 0 ; 1 ; 1
NYJ ; 2009 ; 0 ; 0 ; 1 ; 1
HOU ; 2009 ; 0 ; 0 ; 1 ; 1
NYJ ; 2009 ; 0 ; 0 ; 1 ; 1
IND ; 2009 ; 0 ; 0 ; 1 ; 1
IND ; 2009 ; 0 ; 0 ; 1 ; 1
JAC ; 2009 ; 1 ; 0 ; 0 ; 0
NO ; 2009 ; 0 ; 0 ; 1 ; 1
NO ; 2009 ; 0 ; 0 ; 1 ; 1
DET ; 2009 ; 0 ; 0 ; 1 ; 1
NO ; 2009 ; 0 ; 0 ; 1 ; 1
NO ; 2009 ; 0 ; 0 ; 1 ; 1
DET ; 2009 ; 0 ; 0 ; 1 ; 1
NO ; 2009 ; 0 ; 0 ; 1 ; 1
DET ; 2009 ; 0 ; 0 ; 1 ; 1
NO ; 2009 ; 0 ; 0 ; 1 ; 1
TB ; 2009 ; 0 ; 0 ; 1 ; 1
DAL ; 2009 ; 0 ; 0 ; 1 ; 1
DAL ; 2009 ; 0 ; 0 ; 1 ; 1
TB ; 2009 ; 0 ; 0 ; 1 ; 1
DAL ; 2009 ; 0 ; 0 ; 1 ; 1
DAL ; 2009 ; 0 ; 0 ; 1 ; 1
TB ; 2009 ; 0 ; 0 ; 1 ; 1
SF ; 2009 ; 0 ; 0 ; 1 ; 1
ARI ; 2009 ; 0 ; 0 ; 1 ; 1
SF ; 2009 ; 0 ; 0 ; 1 ; 1
NYG ; 2009 ; 0 ; 0 ; 1 ; 1
NYG ; 2009 ; 0 ; 0 ; 1 ; 1
WAS ; 2009 ; 0 ; 0 ; 1 ; 1
WAS ; 2009 ; 0 ; 0 ; 1 ; 1
SEA ; 2009 ; 0 ; 0 ; 1 ; 1
SEA ; 2009 ; 0 ; 0 ; 1 ; 1
SEA ; 2009 ; 0 ; 0 ; 1 ; 1
SEA ; 2009 ; 0 ; 0 ; 1 ; 1
GB ; 2009 ; 0 ; 0 ; 1 ; 1
CHI ; 2009 ; 0 ; 0 ; 1 ; 1
GB ; 2009 ; 1 ; 1 ; 0 ; 0
BUF ; 2009 ; 0 ; 0 ; 1 ; 1
NE ; 2009 ; 0 ; 0 ; 1 ; 1
BUF ; 2009 ; 0 ; 0 ; 1 ; 1
BUF ; 2009 ; 0 ; 0 ; 1 ; 1
NE ; 2009 ; 1 ; 0 ; 0 ; 0
NE ; 2009 ; 1 ; 0 ; 0 ; 0
OAK ; 2009 ; 0 ; 0 ; 1 ; 1
SD ; 2009 ; 0 ; 0 ; 1 ; 1
SD ; 2009 ; 0 ; 0 ; 1 ; 1
OAK ; 2009 ; 0 ; 0 ; 1 ; 1
SD ; 2009 ; 0 ; 0 ; 1 ; 1
ATL ; 2009 ; 0 ; 0 ; 1 ; 1
CAR ; 2009 ; 0 ; 0 ; 1 ; 1
ATL ; 2009 ; 0 ; 0 ; 1 ; 1
ATL ; 2009 ; 0 ; 0 ; 1 ; 1
ATL ; 2009 ; 0 ; 0 ; 1 ; 1
CAR ; 2009 ; 0 ; 0 ; 1 ; 1
DET ; 2009 ; 0 ; 0 ; 1 ; 1
MIN ; 2009 ; 0 ; 0 ; 1 ; 1
MIN ; 2009 ; 0 ; 0 ; 1 ; 1
MIN ; 2009 ; 0 ; 0 ; 1 ; 1
CIN ; 2009 ; 0 ; 0 ; 1 ; 1
GB ; 2009 ; 0 ; 0 ; 1 ; 1
GB ; 2009 ; 0 ; 0 ; 1 ; 1
CIN ; 2009 ; 0 ; 0 ; 1 ; 1
GB ; 2009 ; 0 ; 0 ; 1 ; 1
CIN ; 2009 ; 0 ; 0 ; 1 ; 1
CIN ; 2009 ; 0 ; 0 ; 1 ; 1
ARI ; 2009 ; 0 ; 0 ; 1 ; 1
ARI ; 2009 ; 0 ; 0 ; 1 ; 1
ARI ; 2009 ; 0 ; 0 ; 1 ; 1
ARI ; 2009 ; 0 ; 0 ; 1 ; 1
JAC ; 2009 ; 0 ; 0 ; 1 ; 1
JAC ; 2009 ; 0 ; 0 ; 1 ; 1
KC ; 2009 ; 0 ; 0 ; 1 ; 1
OAK ; 2009 ; 0 ; 0 ; 1 ; 1
NYJ ; 2009 ; 0 ; 0 ; 1 ; 1
NO ; 2009 ; 0 ; 0 ; 1 ; 1
PHI ; 2009 ; 0 ; 0 ; 1 ; 1
NO ; 2009 ; 0 ; 0 ; 1 ; 1
NO ; 2009 ; 0 ; 0 ; 1 ; 1
NO ; 2009 ; 0 ; 0 ; 1 ; 1
PHI ; 2009 ; 0 ; 0 ; 1 ; 1
NO ; 2009 ; 0 ; 0 ; 1 ; 1
NO ; 2009 ; 0 ; 0 ; 1 ; 1
TEN ; 2009 ; 0 ; 0 ; 1 ; 1
HOU ; 2009 ; 0 ; 0 ; 1 ; 1
TEN ; 2009 ; 0 ; 0 ; 1 ; 1
TEN ; 2009 ; 0 ; 0 ; 1 ; 1
HOU ; 2009 ; 0 ; 0 ; 1 ; 1
HOU ; 2009 ; 0 ; 0 ; 1 ; 1
TEN ; 2009 ; 0 ; 0 ; 1 ; 1
HOU ; 2009 ; 0 ; 0 ; 1 ; 1
STL ; 2009 ; 0 ; 0 ; 1 ; 1
BUF ; 2009 ; 0 ; 0 ; 1 ; 1
BUF ; 2009 ; 0 ; 0 ; 1 ; 1
TB ; 2009 ; 0 ; 0 ; 1 ; 1
TB ; 2009 ; 0 ; 0 ; 1 ; 1
BUF ; 2009 ; 0 ; 0 ; 1 ; 1
TB ; 2009 ; 1 ; 0 ; 0 ; 0
SF ; 2009 ; 0 ; 0 ; 1 ; 1
SEA ; 2009 ; 0 ; 0 ; 1 ; 1
SF ; 2009 ; 0 ; 0 ; 1 ; 1
PIT ; 2009 ; 0 ; 0 ; 1 ; 1
CHI ; 2009 ; 0 ; 0 ; 1 ; 1
PIT ; 2009 ; 0 ; 0 ; 1 ; 1
CHI ; 2009 ; 0 ; 0 ; 1 ; 1
DEN ; 2009 ; 0 ; 0 ; 1 ; 1
