game_id,home,away,homescore,awayscore,coin,season,spread
2009091000,PIT,TEN,13,10,PIT,2009,6.5
2009100401,CLE,CIN,20,23,CIN,2009,-6.5
2009101104,KC,DAL,20,26,KC,2009,-7
2009101110,DEN,NE,20,17,DEN,2009,-3
2009101802,JAC,STL,23,20,JAC,2009,9.5
2009101811,NYJ,BUF,13,16,NYJ,2009,9.5
2009112205,KC,PIT,27,24,PIT,2009,-11.5
2009112207,NYG,ATL,34,31,NYG,2009,7
2009112911,BAL,PIT,20,17,PIT,2009,7.5
2009120608,WAS,NO,30,33,WAS,2009,-9
2009122008,TEN,MIA,27,24,MIA,2009,5
2009122707,NO,TB,17,20,TB,2009,14
2009122800,CHI,MIN,36,30,CHI,2009,-8.5
2010091209,PIT,ATL,15,9,ATL,2010,-1
2010091900,WAS,HOU,27,30,HOU,2010,-2.5
2010092606,NO,ATL,24,27,ATL,2010,3
2010101003,WAS,GB,16,13,GB,2010,-3
2010101702,NE,BAL,23,20,BAL,2010,3
2010101700,GB,MIA,20,23,MIA,2010,3
2010102402,BAL,BUF,37,34,BAL,2010,12.5
2010103103,KC,BUF,13,10,BUF,2010,7
2010110705,MIN,ARI,27,24,ARI,2010,7.5
2010110700,DET,NYJ,20,23,NYJ,2010,-5.5
2010110710,OAK,KC,23,20,KC,2010,-1
2010111401,CLE,NYJ,20,26,NYJ,2010,-3
2010111410,SF,STL,23,20,STL,2010,5
2010112108,TEN,WAS,16,19,TEN,2010,7
2010112801,BUF,PIT,16,19,BUF,2010,-6.5
2010120510,IND,DAL,35,38,IND,2010,6
2010121300,HOU,BAL,28,34,BAL,2010,-3
2010121908,TB,DET,20,23,DET,2010,4
2010122608,JAC,WAS,17,20,JAC,2010,7
2011091810,SF,DAL,24,27,SF,2011,-3
2011092506,MIN,DET,23,26,DET,2011,-3
2011102300,MIA,DEN,15,18,MIA,2011,-1
2011103100,KC,SD,23,20,SD,2011,-3
2011110611,ARI,STL,19,13,STL,2011,1
2011111308,ATL,NO,23,26,ATL,2011,1
2011112005,WAS,DAL,24,27,WAS,2011,-7
2011112710,SD,DEN,13,16,DEN,2011,4.5
2011120411,ARI,DAL,19,13,ARI,2011,-4.5
2011121111,DEN,CHI,13,10,CHI,2011,3
2011121810,ARI,CLE,20,17,CLE,2011,6
2011122404,KC,OAK,13,16,OAK,2011,3
2012090901,MIN,JAC,26,23,MIN,2012,3.5
2012010115,ARI,SEA,23,20,SEA,2012,-3
2012092303,TEN,DET,44,41,TEN,2012,-4
2012092306,MIA,NYJ,20,23,NYJ,2012,-2.5
2012092305,NO,KC,24,27,KC,2012,8.5
2012093007,ARI,MIA,24,21,ARI,2012,4.5
2012101404,PHI,DET,23,26,PHI,2012,3.5
2012101407,ARI,BUF,16,19,BUF,2012,5
2012102108,NE,NYJ,29,26,NE,2012,11
2012102109,OAK,JAC,26,23,JAC,2012,6
2012102803,TEN,IND,13,19,IND,2012,3.5
2012111110,SF,STL,24,24,STL,2012,13.5
2012111200,PIT,KC,16,13,KC,2012,13
2012111803,CAR,TB,21,27,TB,2012,-1
2012111804,DAL,CLE,23,20,DAL,2012,7
2012111807,HOU,JAC,43,37,HOU,2012,15.5
2012112200,DET,HOU,31,34,DET,2012,-3.5
2012112508,SD,BAL,13,16,SD,2012,-1
2012120200,CHI,SEA,17,23,SEA,2012,3
2012120202,STL,SF,16,13,STL,2012,-7.5
