Year,Team,Margin,RET TD,PENDIF,PY/A,DPY/A,RY/A,DRY/A,TO,DTO
2017,Arizona,-68,2,-20,6.1,6.3,3.4,3.5,26,21
2017,Atlanta,40,2,-1,7.4,6.2,4.2,4.2,16,18
2017,Baltimore,93,6,-5,5.3,6,4,4.1,18,34
2017,Buffalo,-61,3,2,5.7,6.3,4.1,4.3,18,24
2017,Carolina,28,3,-22,6.2,6.9,4.3,3.9,21,21
2017,Chicago,-56,5,-3,5.9,6.4,4.2,4,22,22
2017,Cincinnati,-59,3,4,6.1,6,3.6,4.2,22,14
2017,Cleveland,-176,2,9,5.6,7,4.5,3.4,42,13
2017,Dallas,21,2,-9,6.4,6.1,4.5,4.1,22,21
2017,Denver,-92,3,24,5.9,6.5,4.1,3.3,34,18
2017,Detroit,34,6,-6,7.3,6.8,3.4,4.2,22,32
2017,Green Bay,-64,2,2,5.6,7.4,4.5,3.9,26,22
2017,Houston,-97,3,3,6.2,7.6,4.1,4,29,16
2017,Indianapolis,-141,2,-9,5.9,7.7,3.7,3.9,14,19
2017,Jacksonville,131,8,4,6.8,5.6,4.3,4.3,19,32
2017,Kansas City,71,3,9,7.6,6.9,4.7,4.4,10,26
2017,LA Chargers,83,3,0,7.6,6,3.8,4.9,14,27
2017,LA Rams,128,6,7,7.2,6.3,4.4,4.6,22,26
2017,Miami,-112,3,16,5.9,6.8,3.9,4.1,29,14
2017,Minnesota,93,2,-8,7,5.9,3.9,3.7,16,19
2017,New England,150,2,-27,7.6,6.9,4.2,4.7,11,16
2017,New Orleans,107,5,5,7.9,6.6,4.5,4.3,19,22
2017,NY Giants,-141,2,-24,5.7,7.2,3.9,4.2,22,19
2017,NY Jets,-84,0,4,6.2,6.7,4,4,24,19
2017,Oakland,-72,0,12,6.5,7.3,4.2,4,29,14
2017,Philadelphia,173,5,18,7,6.3,4.4,3.9,19,29
2017,Pittsburgh,89,2,-7,7.5,6.5,3.8,4.4,21,21
2017,San Francisco,-51,2,25,6.5,6.9,4.1,3.8,22,19
2017,Seattle,33,5,45,6.6,6,4,4,18,26
2017,Tampa Bay,-48,3,-5,7.2,7.6,3.7,4.3,27,26
2017,Tennessee,-36,2,-26,6.4,6.4,4.3,3.6,24,19
2017,Washington,-45,2,-6,6.9,6.4,3.6,4.5,27,22
2016,Arizona,56,3,-19,6.4,6.2,4.3,3.6,29,29
2016,Atlanta,141,5,-8,8.9,6.5,4.5,4.6,10,24
2016,Baltimore,20,2,31,6,6.4,4,3.7,22,29
2016,Buffalo,20,3,6,6.4,7,5.3,4.5,13,18
2016,Carolina,-32,3,-14,6.5,7,4,3.9,29,27
2016,Chicago,-120,3,8,7.1,6.8,4.6,4.4,30,11
2016,Cincinnati,10,0,-18,7,6.4,4,4.4,18,19
2016,Cleveland,-187,2,-10,5.8,7.4,4.9,4.6,26,13
2016,Dallas,106,0,16,7.5,6.6,4.8,4,14,19
2016,Denver,35,3,8,6.5,5.4,3.6,4.3,26,27
2016,Detroit,-31,3,-19,6.9,7.2,3.7,4.4,14,13
2016,Green Bay,40,0,-9,6.9,7.6,4.5,4.1,18,24
2016,Houston,-48,2,-26,5.5,6,4,3.9,24,21
2016,Indianapolis,19,2,-23,7.2,7.2,4,4.7,22,18
2016,Jacksonville,-82,2,29,6,6.3,4.2,3.8,29,13
2016,Kansas City,71,8,3,6.7,6.6,4.2,4.5,18,32
2016,LA Chargers,-12,5,-11,7.2,6.9,3.8,3.8,35,29
2016,LA Rams,-170,2,17,5.5,6.4,3.3,3.9,29,18
2016,Miami,-32,3,14,7.3,6.7,4.4,4.9,24,26
2016,Minnesota,19,6,3,6.5,6.1,3.2,4.2,16,27
2016,New England,197,2,-21,7.8,6.5,3.8,3.9,13,24
2016,New Orleans,15,0,3,7.5,7.5,4.3,4.1,24,21
2016,NY Giants,2,3,-13,6.5,6.5,3.6,3.5,27,24
2016,NY Jets,-135,2,19,6.3,7.2,4.3,3.7,34,14
2016,Oakland,18,2,31,6.5,7.6,4.4,4.3,16,29
2016,Philadelphia,35,5,15,5.9,6.9,4.1,4.2,19,26
2016,Pittsburgh,60,2,2,7.1,6.7,4.3,4.1,19,24
2016,San Francisco,-171,0,6,5.9,7.4,4.4,4.8,26,19
2016,Seattle,57,2,16,7.2,6.8,4,3.4,18,18
2016,Tampa Bay,-16,3,-13,6.8,7.3,3.6,4.4,27,29
2016,Tennessee,3,2,-28,7,6.8,4.6,4,18,18
2016,Washington,15,2,11,7.8,7,4.5,4.5,21,21
2015,Arizona,131,6,-33,8,6.6,4.1,4,29,42
2015,Atlanta,-7,3,5,7.1,6.9,3.8,4,30,30
2015,Baltimore,-74,3,20,6.3,6.9,3.9,4,29,30
2015,Buffalo,21,3,28,7.2,6.6,4.8,4.4,19,30
2015,Carolina,186,6,6,7.2,5.8,4.3,3.9,21,30
2015,Chicago,-63,0,1,7,7,4,4.5,21,29
2015,Cincinnati,130,2,-6,7.5,6.1,3.9,4.4,19,29
2015,Cleveland,-154,3,11,6.2,7.9,4,4.5,30,29
2015,Dallas,-99,2,-2,6.6,7.2,4.6,4.2,34,26
2015,Denver,69,6,3,6.4,5.6,4,3.4,29,26
2015,Detroit,-42,2,8,6.7,7.2,3.8,4.2,24,26
2015,Green Bay,50,3,-13,6.1,6.6,4.3,4.4,18,26
